,image-number,x-coord,y-coord,bbox-width,bbox-height,tilt-direction
0,7,480.0,306.0,150,96,1
1,8,480.5,306.0,149,96,1
2,9,480.5,306.5,149,95,1
3,12,419.5,306.0,151,96,-1
4,13,419.0,305.5,152,97,1
5,14,419.0,305.5,152,97,1
6,17,355.5,305.0,153,96,-1
7,18,355.5,305.0,153,96,-1
8,19,355.5,305.0,153,96,1
9,22,297.5,304.5,153,97,1
10,23,297.5,304.5,153,97,-1
11,24,297.5,304.5,153,97,-1
12,27,235.0,304.5,154,97,1
13,28,235.0,304.5,154,97,1
14,29,235.0,304.5,154,97,1
15,33,173.0,303.5,158,97,-1
16,34,173.0,303.5,158,97,-1
17,35,173.5,303.5,157,97,-1
18,38,111.0,302.0,158,98,1
19,39,110.5,302.0,159,98,1
20,40,110.5,302.0,159,98,1
