,image-number,x-coord pix,y-coord pix,bbox-width pix,bbox-height pix,tilt-direction pix,x-coord dist,y-coord dist,z-coord dist,tilt-direction dist,timestamp
0,1,386.5,274.0,195,122,-1,-12,-11,14,0,1658866120.1735423
1,2,383.5,273.5,183,119,-1,-12,-11,17,0,1658866120.4685416
2,3,386.5,267.0,177,128,-1,-11,-11,9,-22,1658866120.7195418
3,4,398.0,256.5,172,127,-1,-10,-12,10,-25,1658866120.9895442
4,5,416.5,246.0,169,124,-1,-8,-14,12,-24,1658866121.250544
5,6,437.5,227.5,169,121,-1,-5,-17,15,-21,1658866121.5130587
6,7,465.0,208.5,158,119,-1,-1,-20,17,-27,1658866121.7855675
7,8,490.5,194.5,155,111,-1,1,-23,25,-21,1658866122.0535667
8,9,515.5,187.0,153,106,-1,5,-26,31,-15,1658866122.3366091
9,10,551.5,179.5,149,99,-1,11,-29,40,0,1658866122.6276066
10,11,599.5,171.0,147,96,-1,19,-31,44,0,1658866122.9046092
11,12,649.5,162.0,141,92,-1,29,-34,50,0,1658866123.182609
12,13,691.5,151.0,137,88,-1,38,-37,57,0,1658866123.4726865
13,14,726.0,138.0,134,82,1,48,-43,68,0,1658866123.7566874
14,15,761.0,126.0,130,78,1,58,-48,77,0,1658866124.0386848
15,16,791.0,133.0,124,80,1,63,-45,73,0,1658866124.3396883
16,17,792.5,175.5,115,69,-1,73,-42,100,0,1658866124.6506872
17,18,783.0,204.0,108,70,-1,70,-35,97,0,1658866124.9496956
18,19,773.0,232.5,108,69,-1,69,-29,100,0,1658866125.2236876
19,20,765.5,253.0,107,68,-1,68,-24,103,0,1658866125.5777245
20,21,749.0,278.0,100,66,-1,65,-19,109,0,1658866125.8647232
21,22,728.0,298.0,96,64,-1,62,-15,115,0,1658866126.1387234
22,23,710.0,312.0,96,66,-1,55,-11,109,-14,1658866126.4317594
23,24,692.0,328.5,96,63,-1,53,-7,119,0,1658866126.6867883
24,25,679.5,340.5,95,63,1,50,-4,119,0,1658866126.95881
25,26,665.0,351.0,90,60,-1,48,-2,130,0,1658866127.2293224
26,27,644.5,352.5,91,51,-1,50,-2,170,0,1658866127.5088341
27,28,622.0,337.0,94,70,-1,32,-5,97,-26,1658866127.7738342
28,29,610.5,309.5,99,71,-1,28,-11,94,-21,1658866128.036837
29,30,602.5,281.5,95,55,1,35,-22,150,0,1658866128.3028343
30,31,599.0,249.5,96,65,1,28,-26,112,10,1658866128.5818374
31,32,596.0,220.0,96,70,-1,26,-31,97,-23,1658866128.830834
32,33,593.5,194.5,95,71,-1,25,-36,94,-26,1658866129.091834
33,34,593.5,171.5,95,73,-1,24,-41,89,-29,1658866129.3528342
34,35,592.0,151.5,94,73,1,24,-45,89,30,1658866129.6138587
35,36,584.0,135.0,98,78,1,20,-46,77,33,1658866129.8608565
36,37,573.5,126.5,97,77,1,19,-48,79,32,1658866130.1118598
37,38,560.0,122.5,98,73,-1,17,-52,89,-26,1658866130.3548565
38,39,546.0,118.0,92,76,-1,13,-51,82,-36,1658866130.6308606
39,40,531.5,117.5,93,75,-1,10,-51,84,-34,1658866130.8608658
40,41,520.0,119.5,90,71,1,8,-54,94,32,1658866131.1138601
41,42,510.5,113.5,87,53,-1,8,-74,160,0,1658866131.3638637
42,43,501.0,126.0,84,52,-1,6,-71,165,0,1658866131.6358566
43,44,493.5,144.0,83,56,1,3,-61,146,8,1658866131.9458566
44,45,488.5,161.5,81,55,1,2,-57,150,10,1658866132.2348564
45,46,477.5,168.0,81,54,1,0,-56,155,0,1658866132.4998567
46,47,460.0,165.5,80,55,1,-5,-56,150,14,1658866132.758859
47,48,441.5,162.5,77,55,1,-10,-57,150,21,1658866133.010859
48,49,430.0,157.5,76,57,1,-13,-56,142,27,1658866133.26386
49,50,419.5,153.0,77,60,-1,-15,-54,130,-31,1658866133.529904
50,51,410.0,146.0,80,62,-1,-17,-55,122,-30,1658866133.9014144
51,52,396.0,136.0,82,66,1,-19,-54,109,34,1658866134.177414
52,53,385.5,127.5,83,71,1,-20,-52,94,38,1658866134.4124188
53,54,376.0,120.0,86,74,1,-22,-52,86,39,1658866134.6509268
54,55,367.0,116.5,84,73,-1,-24,-53,89,-39,1658866134.8879266
55,56,359.5,112.0,85,76,-1,-24,-52,82,-41,1658866135.1164427
56,57,350.5,108.5,89,79,1,-25,-51,75,41,1658866135.3344393
57,58,345.5,104.5,83,81,1,-26,-50,70,46,1658866135.5954423
58,59,341.0,100.5,78,83,1,-26,-50,66,51,1658866135.8234391
59,60,337.5,96.0,71,82,1,-27,-52,68,54,1658866136.032439
60,61,335.5,94.5,67,79,1,-28,-54,75,55,1658866136.2664392
61,62,336.0,93.5,66,77,1,-29,-55,79,55,1658866136.496439
62,63,335.5,93.5,67,75,1,-30,-57,84,53,1658866136.7164464
63,64,334.0,93.0,64,74,1,-31,-58,86,54,1658866136.9324393
64,65,331.5,93.0,59,72,1,-32,-59,92,56,1658866137.1684396
65,66,333.0,100.0,62,70,1,-33,-59,97,53,1658866137.391443
66,67,337.0,104.5,68,71,-1,-31,-57,94,-50,1658866137.6134393
67,68,344.0,106.0,76,72,-1,-29,-56,92,-45,1658866137.8574407
68,69,359.0,106.0,84,72,-1,-26,-56,92,-38,1658866138.0914426
69,70,371.5,107.0,89,74,-1,-23,-55,86,-36,1658866138.335442
70,71,379.0,108.0,94,76,-1,-20,-53,82,-34,1658866138.583442
71,72,382.5,108.5,95,77,-1,-19,-52,79,-34,1658866138.8244402
72,73,382.5,109.0,97,78,1,-19,-51,77,33,1658866139.0634398
73,74,382.0,109.5,98,81,1,-19,-49,70,36,1658866139.2989655
74,75,381.5,112.5,101,83,-1,-18,-48,66,-35,1658866139.5419676
75,76,382.0,115.0,104,86,1,-17,-45,61,36,1658866139.7769663
76,77,381.5,118.0,107,88,1,-17,-44,57,35,1658866140.0349658
77,78,385.0,122.5,112,93,1,-16,-41,49,36,1658866140.265965
78,79,393.5,126.0,117,96,1,-14,-39,44,35,1658866140.520003
79,80,414.5,129.0,119,96,1,-10,-38,44,34,1658866140.7880063
80,81,432.5,132.0,121,98,1,-7,-37,41,34,1658866141.0580032
81,82,449.0,134.0,126,100,1,-4,-36,39,32,1658866141.2915177
82,83,461.5,136.0,127,102,1,-2,-35,36,33,1658866141.5565171
83,84,474.0,142.0,130,104,1,0,-33,33,33,1658866141.7955556
84,85,488.5,145.5,135,107,1,1,-32,30,32,1658866142.056073
85,86,511.5,150.5,135,111,1,4,-30,25,35,1658866142.2940705
86,87,540.5,153.0,137,116,1,8,-28,20,38,1658866142.5410721
87,88,580.0,154.0,136,118,1,13,-28,18,39,1658866142.7730713
88,89,615.5,155.5,139,119,1,18,-27,17,38,1658866143.01259
89,90,644.0,158.0,136,116,1,22,-27,20,38,1658866143.2580948
90,91,670.5,163.0,135,106,1,28,-29,31,31,1658866143.5120945
91,92,692.5,166.5,129,99,1,34,-31,40,29,1658866143.7590942
92,93,716.0,164.5,126,73,-1,51,-42,89,0,1658866144.0146122
93,94,736.5,168.0,119,78,-1,53,-39,77,0,1658866144.277608
94,95,761.0,180.0,114,68,1,66,-42,103,0,1658866144.5546343
95,96,792.0,198.0,112,76,1,67,-33,82,10,1658866144.819634
96,97,810.5,201.5,105,63,1,86,-39,119,0,1658866145.065634
97,98,823.5,211.5,105,71,-1,79,-33,94,-9,1658866145.3316371
98,99,827.0,221.0,98,78,-1,73,-28,77,-33,1658866145.589637
99,100,825.5,233.5,93,77,-1,74,-25,79,-36,1658866145.8486383
100,101,824.5,249.0,95,74,-1,76,-23,86,-31,1658866146.1081529
101,102,830.0,276.0,98,58,1,99,-22,137,0,1658866146.3621569
102,103,832.0,289.5,98,55,1,105,-20,150,0,1658866146.628153
103,104,834.5,300.5,93,53,1,110,-17,160,0,1658866146.8956738
104,105,838.5,312.5,89,51,1,116,-14,170,0,1658866147.1612222
105,106,842.0,322.0,84,50,1,119,-11,175,0,1658866147.4352217
106,107,841.0,331.0,82,50,1,119,-9,175,0,1658866147.6902218
107,108,833.5,339.0,81,46,1,126,-7,199,0,1658866147.977221
108,109,816.5,343.0,79,46,1,120,-5,199,0,1658866148.2752273
109,110,791.0,341.5,80,45,1,112,-6,206,0,1658866148.5548134
110,111,762.5,334.5,81,53,-1,86,-7,160,0,1658866148.8193314
111,112,739.0,325.0,84,60,-1,69,-9,130,-21,1658866149.09233
112,113,715.0,328.0,78,44,1,85,-11,213,0,1658866149.3673606
113,114,694.5,323.5,77,43,1,79,-13,220,0,1658866149.644359
114,115,675.5,316.5,77,47,1,65,-14,193,0,1658866149.908358
115,116,658.5,306.0,75,48,-1,58,-17,187,0,1658866150.1903594
116,117,633.5,299.0,75,54,-1,44,-17,155,-22,1658866150.4528894
117,118,612.0,294.5,76,55,-1,37,-18,150,-22,1658866150.7168884
118,119,595.5,296.5,75,43,1,42,-23,220,0,1658866150.9728892
119,120,573.5,294.5,75,45,1,32,-22,206,0,1658866151.227888
120,121,552.5,293.0,75,46,1,24,-22,199,0,1658866151.5299594
121,122,532.0,292.0,74,46,1,17,-23,199,0,1658866151.7919586
122,123,517.5,289.5,75,43,-1,13,-25,220,0,1658866152.0669572
123,124,507.0,289.0,78,46,-1,9,-24,199,0,1658866152.3524861
124,125,493.5,290.5,83,49,-1,4,-22,181,0,1658866152.623488
125,126,489.5,296.5,85,53,-1,2,-18,160,0,1658866152.8829992
126,127,489.5,301.0,85,58,-1,2,-15,137,-12,1658866153.1519992
127,128,495.0,308.5,84,61,-1,3,-13,126,-23,1658866153.464
128,129,507.0,322.0,96,66,-1,6,-9,109,-14,1658866153.7229984
129,130,527.5,345.0,91,52,1,14,-4,165,0,1658866153.9865081
130,131,547.5,359.0,89,56,1,18,0,146,0,1658866154.2390318
131,132,573.5,364.5,89,57,1,25,1,142,0,1658866154.5240366
132,133,607.0,372.0,92,56,-1,35,3,146,0,1658866154.7600312
133,134,639.0,377.5,92,59,1,42,4,133,0,1658866155.027032
134,135,676.0,380.0,84,66,1,47,4,109,31,1658866155.2550375
135,136,706.0,383.5,88,67,1,53,5,106,28,1658866155.5220313
136,137,732.5,387.0,87,68,1,59,6,103,31,1658866155.7540379
137,138,756.5,386.5,91,67,1,66,6,106,25,1658866156.0530345
138,139,770.0,380.0,86,74,1,63,4,86,39,1658866156.2925537
139,140,768.5,363.0,91,74,1,63,0,86,34,1658866156.5726047
140,141,764.5,345.0,89,76,1,60,-3,82,38,1658866156.7932189
141,142,757.5,328.5,91,77,1,58,-6,79,38,1658866157.0442057
142,143,744.0,316.5,102,75,-1,56,-9,84,-24,1658866157.2972026
143,144,719.0,308.0,106,72,-1,53,-11,92,-11,1658866157.5597167
144,145,692.0,303.0,114,72,-1,47,-12,92,0,1658866157.8217156
145,146,666.0,299.5,118,75,1,39,-12,84,0,1658866158.0872316
146,147,643.0,298.0,122,76,1,33,-12,82,0,1658866158.366229
147,148,616.5,293.0,119,70,-1,30,-15,97,0,1658866158.6717415
148,149,588.5,285.5,125,77,-1,22,-15,79,0,1658866158.9357414
149,150,568.0,286.5,124,69,1,20,-16,100,0,1658866159.1867433
150,151,543.5,296.5,127,85,1,11,-11,63,5,1658866159.4632554
151,152,516.5,289.5,123,69,-1,8,-16,100,0,1658866159.7247732
152,153,482.5,287.5,127,75,-1,0,-15,84,0,1658866159.986285
153,154,458.0,292.0,126,70,1,-4,-15,97,0,1658866160.2558017
154,155,432.5,298.0,127,82,1,-9,-11,68,0,1658866160.5273113
155,156,415.5,299.5,125,83,1,-12,-11,66,0,1658866160.7948287
156,157,405.0,299.0,118,80,1,-14,-11,73,10,1658866161.0543404
157,158,399.5,298.5,117,79,1,-16,-12,75,9,1658866161.3183422
158,159,388.5,296.5,125,81,1,-17,-12,70,0,1658866161.5703404
159,160,374.5,293.5,133,87,1,-19,-12,59,0,1658866161.8473418
160,161,367.5,289.5,135,93,1,-19,-11,49,14,1658866162.0983398
161,162,366.0,287.0,136,98,1,-18,-11,41,22,1658866162.3623462
162,163,369.5,286.0,135,98,1,-17,-11,41,23,1658866162.6263404
163,164,372.5,287.5,135,99,1,-17,-11,40,24,1658866162.886343
164,165,386.0,301.5,132,103,1,-14,-8,35,31,1658866163.1293435
165,166,402.0,315.0,130,98,1,-12,-7,41,27,1658866163.3803396
166,167,412.0,330.5,140,97,1,-11,-4,43,15,1658866163.6313412
167,168,430.5,342.0,145,96,1,-8,-2,44,0,1658866163.8948772
168,169,454.5,355.0,147,100,1,-4,0,39,11,1658866164.1568766
169,170,489.5,364.0,157,96,1,1,0,44,0,1658866164.4148765
170,171,534.5,374.5,165,105,-1,8,2,32,0,1658866164.696876
171,172,583.5,377.0,167,106,1,15,2,31,0,1658866164.979878
172,173,631.0,381.5,174,111,1,21,3,25,0,1658866165.2618766
173,174,681.0,388.0,172,112,-1,28,3,24,0,1658866165.5528774
174,175,717.5,392.5,177,111,-1,34,4,25,0,1658866165.8398798
175,176,747.5,395.0,185,112,-1,38,4,24,0,1658866166.1178765
176,177,765.0,394.5,192,115,-1,40,4,21,0,1658866166.3928788
177,178,757.0,391.0,196,118,-1,38,4,18,0,1658866166.6668773
178,179,738.0,386.0,190,120,-1,34,3,16,0,1658866166.942879
179,180,693.5,381.5,183,127,-1,27,2,10,-16,1658866167.2068758
180,181,637.5,373.0,173,130,-1,19,1,7,-27,1658866167.4658775
181,182,577.5,369.0,165,138,-1,11,1,1,-37,1658866167.7058756
182,183,531.5,366.0,153,146,-1,5,0,-3,-45,1658866167.9318762
183,184,480.5,363.0,173,148,-1,0,0,-4,-38,1658866168.183876
184,185,439.5,359.0,177,154,-1,-4,0,-8,-39,1658866168.4108822
185,186,402.5,352.5,181,155,-1,-8,0,-8,-38,1658866168.6538758
186,187,375.0,350.0,186,146,-1,-11,-1,-3,-31,1658866168.9008782
187,188,348.5,347.0,189,140,1,-15,-1,0,25,1658866169.1608758
