,image-number,x-coord,y-coord,bbox-width,bbox-height,tilt-direction
0,4,480.5,306.5,149,95,1
1,5,481.0,306.5,150,95,1
2,6,480.5,306.5,149,95,1
3,9,542.0,307.0,150,94,-1
4,10,541.5,307.0,149,94,-1
5,11,542.0,307.0,150,94,-1
6,14,600.5,307.0,149,94,1
7,15,600.5,307.0,149,94,1
8,16,600.5,307.0,149,94,-1
9,19,660.5,307.5,147,95,1
10,20,659.5,307.5,147,95,1
11,21,660.0,307.5,146,95,-1
12,24,720.0,308.0,146,94,-1
13,25,720.5,308.0,147,94,-1
14,26,720.0,308.0,146,94,-1
15,30,780.5,308.0,145,94,1
16,31,780.5,308.0,145,94,1
17,32,781.0,308.0,144,94,1
18,35,838.0,308.5,144,93,1
19,36,838.0,308.5,144,93,1
20,37,839.0,309.0,144,94,-1
